;Unnamed: 0;Word;Paragraph;Stage;Idiom;Type
1666;1666;owe;370;5.0;False;verb
1667;1667;passport;370;5.0;False;verb
1668;1668;point;370;5.0;False;verb
1669;1669;souvenir;370;5.0;False;noun
1670;1670;verb + back;370;5.0;False;noun
1671;1671;normal;371;5.0;False;adjective
1672;1672;normally;371;5.0;False;adverb
1673;1673;pride;371;5.0;False;noun
1674;1674;proud;371;5.0;False;adjective
1675;1675;servant;371;5.0;False;noun
1676;1676;take pride in;371;5.0;False;verb
1677;1677;arrow;372;5.0;False;noun
1678;1678;beard;372;5.0;False;proper noun
1679;1679;centimetre;372;5.0;False;noun
1680;1680;false;372;5.0;False;adjective
1681;1681;lorry;372;5.0;False;verb
1682;1682;maintain;372;5.0;False;verb
1683;1683;metre;372;5.0;False;noun
1684;1684;paper (newspaper);372;5.0;False;proper noun
1685;1685;true;372;5.0;False;adjective
1686;1686;wheel;372;5.0;False;noun
1687;1687;amount;373;5.0;False;noun
1688;1688;amount to;373;5.0;False;noun
1689;1689;extra;373;5.0;False;adjective
1690;1690;further;373;5.0;False;adverb
1691;1691;in addition;373;5.0;False;adposition
1692;1692;Ireland;373;5.0;False;proper noun
1693;1693;it takes;373;5.0;False;pronoun
1694;1694;Sweden;373;5.0;False;proper noun
1695;1695;I had eaten;375;5.0;False;pronoun
1696;1696;past perfect;375;5.0;False;proper noun
1697;1697;party;376;5.0;False;noun
1698;1698;political;376;5.0;False;adjective
1699;1699;copy;377;5.0;False;noun
1700;1700;crazy;377;5.0;False;adjective
1701;1701;mad;377;5.0;False;adjective
1702;1702;UFO;377;5.0;False;proper noun
1703;1703;agriculture;378;5.0;False;noun
1704;1704;develop;378;5.0;False;verb
1705;1705;industry;378;5.0;False;noun
1706;1706;influence;378;5.0;False;noun
1707;1707;mice;378;5.0;False;noun
1708;1708;mouse;378;5.0;False;verb
1709;1709;opportunity;378;5.0;False;noun
1710;1710;throat;378;5.0;False;noun
1711;1711;beach;379;5.0;False;verb
1712;1712;bell;379;5.0;False;noun
1713;1713;desert;379;5.0;False;noun
1714;1714;knock;379;5.0;False;verb
1715;1715;pay a visit;379;5.0;False;verb
1716;1716;print;379;5.0;False;noun
1717;1717;ring;379;5.0;False;noun
1718;1718;sand;379;5.0;False;verb
1719;1719;shout;379;5.0;False;verb
